rank,name,density,densityMi,pop2019,area
1,Macau,21644.5,56059.255,640.445,30
2,Monaco,19426.7327,50315.2376,38.964,2.02
3,Singapore,8239.9183,21341.3884,5804.337,710
4,Hong Kong,6790.7437,17588.0261,7436.154,1104
5,Gibraltar,5615.1667,14543.2817,33.701,6
6,Bahrain,2224.281,5760.8879,1641.172,765
7,Vatican City,1820.4545,4714.9773,0.799,0.44
8,Maldives,1801.8133,4666.6965,530.953,300
9,Malta,1397.288,3618.9759,440.372,316
10,Sint Maarten,1261.0588,3266.1424,42.388,34
11,Bermuda,1153.2963,2987.0374,62.506,54
12,Bangladesh,1116.0086,2890.4622,163046.161,147570
13,Palestine,820.163,2124.2222,4981.42,6220
14,Saint Martin,729.5472,1889.5272,38.002,53
15,Mayotte,729.4519,1889.2803,266.15,374
16,Barbados,668.314,1730.9331,287.025,430
17,Taiwan,658.0492,1704.3474,23773.876,36193
18,Lebanon,653.0277,1691.3416,6855.713,10452
19,Mauritius,623.4157,1614.6466,1269.668,2040
20,Aruba,593.1444,1536.2441,106.314,180
21,San Marino,556.2459,1440.6769,33.86,61
22,Nauru,515.4286,1334.96,10.756,21
23,South Korea,511.6175,1325.0892,51225.308,100210
24,Rwanda,491.7692,1273.6823,12626.95,26338
25,Saint Barthélemy,470.3333,1218.1633,9.847,21
26,Comoros,467.0252,1209.5954,850.886,1862
27,Tuvalu,453.5385,1174.6646,11.646,26
28,Burundi,427.2036,1106.4572,11530.58,27834
29,India,419.7617,1087.1828,1366417.754,3287590
30,Israel,416.7325,1079.3373,8519.377,20770
31,Haiti,410.9019,1064.2359,11263.077,27750
32,Netherlands,409.4354,1060.4377,17097.13,41850
33,Belgium,379.6391,983.2653,11539.328,30528
34,Curacao,369.5788,957.2092,163.424,444
35,Reunion,356.556,923.4799,888.927,2511
36,Japan,334.6558,866.7585,126860.301,377930
37,Martinique,332.6817,861.6457,375.554,1128
38,Grenada,327.1017,847.1935,112.003,344
39,Marshall Islands,327.0166,846.9729,58.791,181
40,Sri Lanka,326.3717,845.3028,21323.733,65610
41,Puerto Rico,322.5313,835.3562,2933.408,8870
42,Philippines,320.0821,829.0127,108116.615,342353
43,El Salvador,308.2651,798.4065,6453.553,21041
44,Guam,307.4226,796.2245,167.294,549
45,United States Virgin Islands,300.9366,779.4258,104.578,347
46,Saint Lucia,298.0958,772.0681,182.79,616
47,Vietnam,293.886,761.1648,96462.106,331212
48,Saint Vincent and the Grenadines,285.1928,738.6494,110.589,389
49,United Kingdom,279.4813,723.8566,67530.172,242900
50,American Samoa,277.3417,718.315,55.312,199
51,Trinidad and Tobago,272.8047,706.5641,1394.973,5130
52,Jamaica,269.4174,697.7912,2948.279,10991
53,Pakistan,250.4698,648.7168,216565.318,881912
54,Cayman Islands,248.947,644.7727,64.948,264
55,Qatar,248.6668,644.0469,2832.067,11586
56,Guadeloupe,245.7764,636.5609,400.056,1628
57,Luxembourg,242.0642,626.9463,615.729,2586
58,Kuwait,239.6773,620.7643,4207.083,17818
59,Liechtenstein,238.3,617.197,38.019,160
60,Germany,234.614,607.6502,83517.045,357114
61,Sao Tome and Principe,227.3434,588.8193,215.056,964
62,Gambia,226.0893,585.5712,2347.706,10689
63,Nigeria,223.1508,577.9606,200963.599,923768
64,Dominican Republic,222.8824,577.2655,10738.958,48671
65,Antigua and Barbuda,221.5588,573.8374,97.118,442
66,Seychelles,217.5819,563.537,97.739,452
67,North Korea,213.8646,553.9094,25666.161,120538
68,Switzerland,209.6362,542.9578,8591.365,41284
69,Saint Kitts and Nevis,203.8276,527.9134,52.823,261
70,Italy,200.6459,519.6728,60550.075,301336
71,British Virgin Islands,200.2053,518.5317,30.03,151
72,Nepal,197.9658,512.7315,28608.71,147181
73,Uganda,189.3645,490.4542,44269.594,241550
74,Andorra,165.0962,427.599,77.142,468
75,Anguilla,164.8681,427.0085,14.869,91
76,Guatemala,164.5306,426.1341,17581.472,108889
77,Micronesia,163.8504,424.3726,113.815,702
78,Malawi,161.456,418.171,18628.747,118484
79,Isle of Man,148.6591,385.027,84.584,572
80,China,148.2775,384.0387,1433783.686,9706961
81,Kiribati,147.2861,381.4709,117.606,811
82,Togo,145.7907,377.5979,8082.366,56785
83,Indonesia,143.6144,371.9614,270625.568,1904569
84,Tonga,141.4926,366.4659,104.494,747
85,Cape Verde,137.8594,357.0559,549.935,4033
86,Thailand,136.0305,352.319,69625.582,513120
87,Czech Republic,135.7888,351.6929,10689.209,78865
88,Denmark,134.4085,348.1181,5771.876,43094
89,Cyprus,130.5112,338.024,1198.575,9251
90,Ghana,130.2668,337.3911,30417.856,238533
91,Northern Mariana Islands,124.0496,321.2884,57.216,464
92,Poland,121.0398,313.4931,37887.768,312679
93,Moldova,119.1858,308.6913,4043.263,33846
94,France,118.3145,306.4345,65129.728,551695
95,United Arab Emirates,118.3062,306.4132,9770.529,83600
96,Azerbaijan,117.0806,303.2387,10047.718,86600
97,Jordan,114.2031,295.786,10101.694,89342
98,Tokelau,113.0833,292.8858,1.34,12
99,Slovakia,111.3372,288.3633,5457.013,49037
100,Sierra Leone,111.193,287.9898,7813.215,71740
101,Portugal,110.7255,286.779,10226.187,92090
102,Benin,107.645,278.8007,11801.151,112622
103,Turkey,107.6355,278.7759,83429.615,783562
104,Austria,107.3839,278.1244,8955.102,83871
105,Ethiopia,104.1054,269.633,112078.73,1104300
106,Hungary,103.8435,268.9546,9684.679,93028
107,Cuba,103.0779,266.9719,11333.483,109884
108,Slovenia,102.5471,265.5971,2078.654,20273
109,Egypt,102.0843,264.3983,100388.073,1002450
110,Albania,100.1043,259.27,2880.917,28748
111,Costa Rica,99.6892,258.195,5047.561,51100
112,Armenia,99.6282,258.0372,2957.731,29743
113,Serbia,98.8827,256.1061,8772.235,88361
114,Malaysia,97.8407,253.4074,31949.777,330803
115,Dominica,95.8535,248.2606,71.808,751
116,Syria,94.5062,244.7711,17070.135,185180
117,Kenya,92.6505,239.9648,52573.973,580367
118,Spain,92.4022,239.3217,46736.776,505992
119,Cambodia,92.3521,239.192,16486.542,181035
120,Iraq,91.7658,237.6733,39309.783,438317
121,Timor-Leste,88.6409,229.58,1293.119,14874
122,Honduras,88.0472,228.0423,9746.117,112492
123,Senegal,85.1147,220.447,16296.364,196722
124,Morocco,82.6572,214.0821,36471.769,446550
125,Ivory Coast,81.8025,211.8684,25716.544,322463
126,Macedonia,81.0242,209.8526,2083.459,25713
127,Romania,80.6981,209.008,19364.557,238391
128,Myanmar,80.4191,208.2855,54045.42,676578
129,Wallis and Futuna,79.1479,204.993,11.432,142
130,Greece,78.9685,204.5284,10473.455,131990
131,Burkina Faso,76.578,198.3371,20321.378,272967
132,Brunei,75.8853,196.543,433.285,5765
133,Uzbekistan,74.8082,193.7533,32981.716,447400
134,Cook Islands,74.4237,192.7575,17.548,236
135,Croatia,72.5389,187.8758,4130.304,56594
136,Ukraine,72.4669,187.6892,43993.638,603500
137,Tunisia,72.2365,187.0926,11694.719,163610
138,Lesotho,70.5732,182.7845,2125.268,30355
139,Ireland,70.2658,181.9883,4882.495,70273
140,Samoa,69.8149,180.8206,197.097,2842
141,French Polynesia,67.4125,174.5984,279.287,4167
142,Swaziland,66.8143,173.0491,1148.13,17364
143,Tajikistan,66.6502,172.624,9321.018,143100
144,Mexico,65.6355,169.996,127575.529,1964375
145,Bosnia and Herzegovina,64.0672,165.9341,3301,51209
146,Ecuador,63.7299,165.0605,17373.662,276841
147,Tanzania,63.205,163.7009,58005.463,945087
148,Bulgaria,62.6669,162.3073,7000.119,110879
149,Afghanistan,59.685,154.5841,38041.754,652230
150,Georgia,57.2334,148.2345,3996.765,69700
151,Panama,57.2121,148.1794,4246.439,75417
152,Yemen,56.492,146.3143,29161.922,527968
153,Cameroon,55.8341,144.6102,25876.38,475442
154,Guinea-Bissau,54.4775,141.0968,1920.922,36125
155,Guinea,53.4164,138.3485,12771.246,245857
156,Iran,50.9606,131.9879,82913.906,1648195
157,Nicaragua,50.8123,131.6039,6545.502,130373
158,Equatorial Guinea,50.0155,129.5402,1355.986,28051
159,Fiji,49.0611,127.0683,889.953,18272
160,Montserrat,48.9412,126.7576,4.989,102
161,South Africa,48.5724,125.8025,58558.27,1221037
162,Madagascar,47.1705,122.1716,26969.307,587041
163,Belarus,45.517,117.889,9452.411,207600
164,Montenegro,45.4725,117.7737,627.987,13812
165,Liberia,45.4137,117.6215,4937.374,111369
166,Colombia,44.5658,115.4254,50339.443,1141748
167,Djibouti,42.5862,110.2983,973.56,23200
168,Lithuania,41.689,107.9744,2759.627,65300
169,Turks and Caicos Islands,40.8407,105.7775,38.191,948
170,Palau,39.4205,102.099,18.008,459
171,Mozambique,38.9918,100.9888,30366.036,801590
172,DR Congo,38.1948,98.9246,86790.567,2344858
173,Zimbabwe,38.0362,98.5138,14645.468,390757
174,United States,35.316,91.4683,329064.917,9372610
175,Faroe Islands,35.0775,90.8508,48.678,1393
176,Kyrgyzstan,32.629,84.509,6415.85,199951
177,Venezuela,31.0285,80.3639,28515.829,916445
178,Laos,30.7245,79.5764,7169.455,236800
179,Eritrea,30.1566,78.1057,3497.117,117600
180,Estonia,29.3306,75.9663,1325.648,45227
181,Latvia,29.2167,75.6711,1906.743,64559
182,Bahamas,28.2037,73.0475,389.482,13943
183,Angola,26.3626,68.2792,31825.295,1246700
184,Peru,25.6547,66.4457,32510.453,1285216
185,Chile,25.2826,65.4819,18952.038,756102
186,Vanuatu,25.1985,65.2642,299.882,12189
187,Brazil,24.9607,64.6482,211049.527,8515767
188,Somalia,24.9244,64.5542,15442.905,637657
189,Zambia,24.4269,63.2656,17861.03,752612
190,Saint Pierre and Miquelon,23.9421,62.0102,5.822,242
191,Solomon Islands,23.7709,61.5666,669.823,28896
192,Sudan,23.249,60.215,42813.238,1886068
193,Sweden,22.4281,58.0888,10036.379,450295
194,Bhutan,20.0971,52.0515,763.092,38394
195,Papua New Guinea,19.3307,50.0665,8776.109,462840
196,Uruguay,19.1883,49.6976,3461.734,181034
197,Niger,19.1055,49.4832,23310.715,1267000
198,Algeria,18.4113,47.6854,43053.054,2381741
199,South Sudan,18.0618,46.7801,11062.113,619745
200,New Zealand,17.8293,46.1778,4783.063,270467
201,Paraguay,17.5353,45.4166,7044.636,406752
202,Belize,17.3138,44.8427,390.353,22966
203,Norway,16.7425,43.363,5378.857,323802
204,Oman,16.4996,42.734,4974.986,309500
205,Finland,16.3721,42.4038,5532.156,338424
206,Mali,16.3288,42.2916,19658.031,1240192
207,Argentina,16.2551,42.1008,44780.677,2780400
208,Saudi Arabia,16.1948,41.9446,34268.528,2149690
209,Republic of the Congo,16.1348,41.789,5380.508,342000
210,New Caledonia,15.37,39.8083,282.75,18575
211,Chad,12.7927,33.1332,15946.876,1284000
212,Turkmenistan,12.3565,32.0033,5942.089,488100
213,Bolivia,10.6255,27.5202,11513.1,1098581
214,Russia,8.5351,22.1058,145872.256,17098242
215,Gabon,8.3153,21.5366,2172.579,267668
216,Central African Republic,7.7526,20.0793,4745.185,622984
217,Kazakhstan,6.8908,17.8471,18551.427,2724900
218,Niue,6.2538,16.1975,1.615,260
219,Mauritania,4.5112,11.6839,4525.696,1030700
220,Botswana,4.0406,10.4651,2303.697,582000
221,Libya,3.9052,10.1144,6777.452,1759540
222,Canada,3.78,9.7902,37411.047,9984670
223,Guyana,3.6589,9.4766,782.766,214969
224,Suriname,3.581,9.2747,581.372,163820
225,French Guiana,3.5756,9.2607,290.832,83534
226,Australia,3.3151,8.5861,25203.198,7692024
227,Iceland,3.313,8.5808,339.031,103000
228,Namibia,3.0776,7.971,2494.53,825615
229,Western Sahara,2.2456,5.8162,582.463,266000
230,Mongolia,2.0959,5.4285,3225.167,1564110
231,Falkland Islands,0.2859,0.7404,3.377,12173
232,Greenland,0.0262,0.0679,56.672,2166086
